_id,text,created_at,coordinates,source,geo
ObjectId(5728f304e6ad0c29540b2c48),RT @RonNehring: We are surprised the National Enquirer did not find this photo of Rafael Cruz first. https://t.co/W4NB4PxVXI,2016-05-03T18:50:45.000Z,"",Twitter for iPhone,""
ObjectId(5728f305e6ad0c29540b2c49),"TRUMP DIDN'T EVEN START WITH CROOKED HILLARY.
ÀMERICA IS COMING TOGETHER, ALL THE WASHINGTON
BS IS OVER!
VOTE TRUMP https://t.co/azQ19XS79r",2016-05-03T18:50:45.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c4a),@Lp_Maryana Trump camp is all images and emotions. He's done so much damage to country now they want to give him WH. Obama/Est 3rd sequel.,2016-05-03T18:50:45.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c4b),Si le digo a mis haters lo que estoy merendando me clavan en la cruz,2016-05-03T18:50:45.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c4c),"RT @CNNnewsroom: Missed @TedCruz calling #Trump ""amoral,"" a ""serial philanderer,"" and a ""narcissist""? Here: https://t.co/v7aweaVz9d https:/…",2016-05-03T18:50:45.000Z,"",jCarApp,""
ObjectId(5728f305e6ad0c29540b2c4d),@brianstelter My word I have heard all now.  FOX has constantly attacked Trump from the start! Ted Cruz is just a sore loser and pathetic!,2016-05-03T18:50:45.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c4e),"RT @Ingo_Zamperoni: Hier wohnt der Mann, der ins Weiße Haus einziehen will. Wie Donald #Trump so tickt: morgen Abend im @WDR TV, 22:10! htt…",2016-05-03T18:50:45.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c4f),"RT @Justice4Europe: .@FrReigns @DrReneeObey @fbdubsquad @Michael_EPorter That's you, not us
#WhiteGenocide
#AntiWhite
#Trump
#UKIP
#EU http…",2016-05-03T18:50:45.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c50),I would rather vote for Satan than Donald Trump https://t.co/lzSToVDHTZ,2016-05-03T18:50:45.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c51),RT @suzynuze: CNN just cut off a live Trump rant. Maybe all those burns at last night's #WHCD has had some effect. JK.,2016-05-03T18:50:46.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c52),RT @scalpatriot: Trump is cool as a cucumber and this assclown is gagging and choking  https://t.co/FMEHV94D41,2016-05-03T18:50:46.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c53),RT @Josealberto2: Alumnos del @CBTIS214Oficial recordando el tradicional día de la Santa Cruz. https://t.co/4dfyZE8hqr,2016-05-03T18:50:46.000Z,"",Twitter for iPhone,""
ObjectId(5728f305e6ad0c29540b2c54),@jenilynn1001 @Dollfinish Cruz dad in center holding sign to support Castro. https://t.co/g0kNsENWhD,2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c55),"RT @FiveThirtyEight: The mythology of Trump's ""working class"" support: https://t.co/qY7QySQiXN https://t.co/f5lUwDBfwG",2016-05-03T18:50:46.000Z,"",Twitter for Android,""
ObjectId(5728f305e6ad0c29540b2c56),"RT @lorettatheprole: The other day Lucifer was trending, then Zodiac Killer, now Lee Harvey Oswald. What is Ted Cruz doing to us?",2016-05-03T18:50:46.000Z,"",Twitter for iPhone,""
ObjectId(5728f305e6ad0c29540b2c57),RT @BradThor: I blame Rafael Cruz!  amirite @realDonaldTrump?  Why isn't media looking into this either?  #TrumpConspiracyTheories https://…,2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c58),"RT @mitchellvii: You can tell that Cruz simply cannot believe he is losing to Trump.  He had it all planned out.

Sorry bro.  Not your call.",2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c59),"Elections américaines : autour de Ted Cruz, le dernier carré des anti- #NouvellesGénérale https://t.co/Z52ElVBaEc https://t.co/TolqfACS0f",2016-05-03T18:50:46.000Z,"",ForceTweet,""
ObjectId(5728f305e6ad0c29540b2c5a),RT @jimgeraghty: That eye on the dollar bill? It's actually Ted Cruz watching you through a triangular hole. #TrumpConspiracyTheories https…,2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c5b),Cyber-security firm says Cruz and Kasich phone apps aren’t... https://t.co/Qhls1qsZSH #computersecurity,2016-05-03T18:50:46.000Z,"",Google,""
ObjectId(5728f305e6ad0c29540b2c5c),"RT @peddoc63: Compared with Trump and his crew being vulgar, liars, name calling and making up fake scandals. Lol 😂 https://t.co/aU2D4FyPRN",2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f305e6ad0c29540b2c5d),"RT @tcberenson: Highlighting that Trump said this on CNN last week: ""When I came out... I was competing against 17 very, very capable peopl…",2016-05-03T18:50:46.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c5e),"RT @EPN: Hoy, Día de la Santa Cruz, mi felicitación a los trabajadores de la construcción. Con su labor, México sigue creciendo y transform…",2016-05-03T18:50:46.000Z,"",Twitter for Android,""
ObjectId(5728f306e6ad0c29540b2c5f),"MUST WATCH VIDEOS!
Vote Cruz!!!
Ted Cruz just BLASTED Trump, called him a PATHOLOGICAL LIAR and SERIAL PHILANDERER https://t.co/JmFNynsY8V",2016-05-03T18:50:46.000Z,"",Twitter Web Client,""
ObjectId(5728f306e6ad0c29540b2c60),"RT @NYMag: Hillary Clinton's campaign is making millions from Trump's ""woman card"" comments: https://t.co/MCuptRODwj https://t.co/oXMZm97DAl",2016-05-03T18:50:46.000Z,"",Twitter for Android,""
